Incident,Date/Time of Request,Original Description of Expenditure,Amount Requested,Expenditure Not to Exceed,Approved Amount,Brief Description
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-28,"Currently the SEP EOC is activated to a level 3 in support of wildfires in our area. 
EOC Staff and essential workers traveled in CSRD owned fleet vehicles during the wildfire to provide security, public safety, and CISM as
well as deliver supplies to the essential public lands and critical infrastructure in electoral areas C, F and G. While road closures were in
place on the Squilax-Anglemont Highway, decaled CSRD vehicles were required to efficiently pass through checkpoints. 
It was agreed upon in a discussion between the SEP EOC Director and Andrew Morrison that fuel for CSRD fleet vehicles used during the
Bush Creek East response may be reimbursed at actual cost as an incremental cost. is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",80000.0,95000.0,95000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-28,"Currently the SEP EOC is activated to a level 3 in support of wildfires in our area. 
EOC Staff and essential workers traveled in CSRD owned fleet vehicles during the wildfire to provide security, public safety, and CISM as
well as deliver supplies to the essential public lands and critical infrastructure in electoral areas C, F and G. While road closures were in
place on the Squilax-Anglemont Highway, decaled CSRD vehicles were required to efficiently pass through checkpoints. 
It was agreed upon in a discussion between the SEP EOC Director and Andrew Morrison that fuel for CSRD fleet vehicles used during the
Bush Creek East response may be reimbursed at actual cost as an incremental cost. is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",80000.0,95000.0,95000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-24,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Original:
Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The Anglemont-Squilax Road is completely closed to traffic at this time. We require a barge to bring
supplies (food, meals, fuel and people) over to the north shore Will be docking at Anglemont or St. Ives
and disembarking at whitehead boat launch. I need to get over at a minimum 6 shipments today.
A quote for a day rate for use of the barge is attached. We anticipate one week at this time is needed. This expenditure will support emergency response efforts. ",56000.0,60000.0,60000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-24,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Original:
Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The Anglemont-Squilax Road is completely closed to traffic at this time. We require a barge to bring
supplies (food, meals, fuel and people) over to the north shore Will be docking at Anglemont or St. Ives
and disembarking at whitehead boat launch. I need to get over at a minimum 6 shipments today.
A quote for a day rate for use of the barge is attached. We anticipate one week at this time is needed. This expenditure will support emergency response efforts. ",56000.0,60000.0,60000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-24,"Requesting Original:
Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The Anglemont-Squilax Road is completely closed to traffic at this time. We require a barge to bring
supplies (food, meals, fuel and people) over to the north shore Will be docking at Anglemont or St. Ives
and disembarking at whitehead boat launch. I need to get over at a minimum 6 shipments today.
A quote for a day rate for use of the barge is attached. We anticipate one week at this time to address 23-5162 - CSRD K21620 Lower East Adams Lake in Unknown. This is necessary for support emergency response efforts. ",56000.0,60000.0,60000.0,Expense request for EOC activation and operational costs.
24-5422 - CSRD EOC Activation - Hullcar fire K41796,2024-08-10,"Due to 24-5422 - CSRD EOC Activation - Hullcar fire K41796 at Unknown, Currently the SEP EOC is activated to a level 2 in support of wildfires fires in our area. The Hullcar Mountain
fire is being reported as out-of-control and an Evacuation Order and Alert have been placed on a large area of Silver Creek and Deep
Creek. 
The EOC presently has 20 workstations operating in a 23ft x 46ft room and noise levels are very elevated. In order to reduce this noise, the
EOC would like to outfit each station with a headset. 
20 headsets X $40/ headset = $800, plus $40 delivery charge. is needed. This expenditure will support emergency response efforts. ",840.0,900.0,900.0,Expense request for EOC activation and operational costs.
24-5422 - CSRD EOC Activation - Hullcar fire K41796,2024-08-10,"To mitigate 24-5422 - CSRD EOC Activation - Hullcar fire K41796 risks at Unknown, Currently the SEP EOC is activated to a level 2 in support of wildfires fires in our area. The Hullcar Mountain
fire is being reported as out-of-control and an Evacuation Order and Alert have been placed on a large area of Silver Creek and Deep
Creek. 
The EOC presently has 20 workstations operating in a 23ft x 46ft room and noise levels are very elevated. In order to reduce this noise, the
EOC would like to outfit each station with a headset. 
20 headsets X $40/ headset = $800, plus $40 delivery charge. is necessary. This expenditure supports support emergency response efforts. ",840.0,900.0,900.0,Expense request for EOC activation and operational costs.
24-5422 - CSRD EOC Activation - Hullcar fire K41796,2024-08-10,"Currently the SEP EOC is activated to a level 2 in support of wildfires fires in our area. The Hullcar Mountain
fire is being reported as out-of-control and an Evacuation Order and Alert have been placed on a large area of Silver Creek and Deep
Creek. 
The EOC presently has 20 workstations operating in a 23ft x 46ft room and noise levels are very elevated. In order to reduce this noise, the
EOC would like to outfit each station with a headset. 
20 headsets X $40/ headset = $800, plus $40 delivery charge. is required for 24-5422 - CSRD EOC Activation - Hullcar fire K41796 response in Unknown. support emergency response efforts. ",840.0,900.0,900.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-19,"To mitigate 23-5162 - CSRD K21620 Lower East Adams Lake risks at Unknown, There are approximately 100 evacuees stranded in the remote community of Seymour Arm which has
been cut-off from other communities due to wildfire. These evacuees have limited access to food and
beverages. Shuswap Lifeboat Society will transport the food to the community via boat. We are looking
to provide a meals and beverages for tomorrow. SEP is requesting funds for $30-40 per evacuee is necessary. This expenditure supports support emergency response efforts. ",3000.0,4000.0,4000.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-19,"To mitigate 23-5162 - CSRD K21620 Lower East Adams Lake risks at Unknown, There are approximately 100 evacuees stranded in the remote community of Seymour Arm which has
been cut-off from other communities due to wildfire. These evacuees have limited access to food and
beverages. Shuswap Lifeboat Society will transport the food to the community via boat. We are looking
to provide a meals and beverages for tomorrow. SEP is requesting funds for $30-40 per evacuee is necessary. This expenditure supports support emergency response efforts. ",3000.0,4000.0,4000.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-19,"There are approximately 100 evacuees stranded in the remote community of Seymour Arm which has
been cut-off from other communities due to wildfire. These evacuees have limited access to food and
beverages. Shuswap Lifeboat Society will transport the food to the community via boat. We are looking
to provide a meals and beverages for tomorrow. SEP is requesting funds for $30-40 per evacuee is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",3000.0,4000.0,4000.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-22,"To mitigate 23-5162 - CSRD K21620 Lower East Adams Lake risks at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires in our area.
Cellular equipment is required to keep Critical infrastructure operational due to the loss of the Mascon tower on the North Shore, in
Electoral Area F. We are currently running four water systems with limited or no communication.
The quoted info on the Cellular equipment needed to get the systems back in operation is approximately $1,800 per unit and license and
we are requesting 12 units/licenses SEP is requesting funds to cover the cost of same. is necessary. This expenditure supports support emergency response efforts. ",15600.0,16500.0,16500.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-22,"Currently the SEP EOC is activated to a level 3 in support of wildfires in our area.
Cellular equipment is required to keep Critical infrastructure operational due to the loss of the Mascon tower on the North Shore, in
Electoral Area F. We are currently running four water systems with limited or no communication.
The quoted info on the Cellular equipment needed to get the systems back in operation is approximately $1,800 per unit and license and
we are requesting 12 units/licenses SEP is requesting funds to cover the cost of same. is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",15600.0,16500.0,16500.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-22,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires in our area.
Cellular equipment is required to keep Critical infrastructure operational due to the loss of the Mascon tower on the North Shore, in
Electoral Area F. We are currently running four water systems with limited or no communication.
The quoted info on the Cellular equipment needed to get the systems back in operation is approximately $1,800 per unit and license and
we are requesting 12 units/licenses SEP is requesting funds to cover the cost of same. is needed. This expenditure will support emergency response efforts. ",15600.0,16500.0,16500.0,Expense request for EOC activation and operational costs.
24-5422 - CSRD EOC Activation - Hullcar fire K41796,2024-08-12,"To mitigate 24-5422 - CSRD EOC Activation - Hullcar fire K41796 risks at Unknown, The CSRD EOC is activated in response to the Hullcar Mountain fire. Evacuation Orders and Alerts have been
in place since August 6.
In order to secure the Evacuation Order area, the RCMP has requested that checkpoints be set up to control the Order area.. In order for
Ag Producers to continue operating in the Alert area, a permitting system was required. 
The CSRD required technical support to set up the electronic permitting system.
10 hours @ $200/hour = $2,000.00 is necessary. This expenditure supports support emergency response efforts. ",2000.0,2100.0,2100.0,Expense request for EOC activation and operational costs.
24-5422 - CSRD EOC Activation - Hullcar fire K41796,2024-08-12,"Requesting The CSRD EOC is activated in response to the Hullcar Mountain fire. Evacuation Orders and Alerts have been
in place since August 6.
In order to secure the Evacuation Order area, the RCMP has requested that checkpoints be set up to control the Order area.. In order for
Ag Producers to continue operating in the Alert area, a permitting system was required. 
The CSRD required technical support to set up the electronic permitting system.
10 hours @ $200/hour = $2,000.00 to address 24-5422 - CSRD EOC Activation - Hullcar fire K41796 in Unknown. This is necessary for support emergency response efforts. ",2000.0,2100.0,2100.0,Expense request for EOC activation and operational costs.
24-5422 - CSRD EOC Activation - Hullcar fire K41796,2024-08-12,"Due to 24-5422 - CSRD EOC Activation - Hullcar fire K41796 at Unknown, The CSRD EOC is activated in response to the Hullcar Mountain fire. Evacuation Orders and Alerts have been
in place since August 6.
In order to secure the Evacuation Order area, the RCMP has requested that checkpoints be set up to control the Order area.. In order for
Ag Producers to continue operating in the Alert area, a permitting system was required. 
The CSRD required technical support to set up the electronic permitting system.
10 hours @ $200/hour = $2,000.00 is needed. This expenditure will support emergency response efforts. ",2000.0,2100.0,2100.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-21,"A Reception Centre has been established for ESS Services, approved in EAF 2023-59, and continues to
provide direct support to residents who have experienced loss and displacement due to the wildfire. There is a need for appropriate
signage to direct the affected public to the correct Reception Centre location.
The CSRD is looking to purchase 6 new chloroplast inserts for the Reception Centers existing sandwich boards.
The Quote is as follows:
A) COROPLAST SIGNS
 Artwork: To Spec.  Size: 22 x 28""  Quantity: 6  Sides: Single  Special Finishing: Gloss Laminated  Install Requirements: n/a  Notes: 
Price: $55.00 ea. + tax
Total cost = $370.00 is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",370.0,450.0,450.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-21,"To mitigate 23-5162 - CSRD K21620 Lower East Adams Lake risks at Unknown, A Reception Centre has been established for ESS Services, approved in EAF 2023-59, and continues to
provide direct support to residents who have experienced loss and displacement due to the wildfire. There is a need for appropriate
signage to direct the affected public to the correct Reception Centre location.
The CSRD is looking to purchase 6 new chloroplast inserts for the Reception Centers existing sandwich boards.
The Quote is as follows:
A) COROPLAST SIGNS
 Artwork: To Spec.  Size: 22 x 28""  Quantity: 6  Sides: Single  Special Finishing: Gloss Laminated  Install Requirements: n/a  Notes: 
Price: $55.00 ea. + tax
Total cost = $370.00 is necessary. This expenditure supports support emergency response efforts. ",370.0,450.0,450.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-21,"Requesting A Reception Centre has been established for ESS Services, approved in EAF 2023-59, and continues to
provide direct support to residents who have experienced loss and displacement due to the wildfire. There is a need for appropriate
signage to direct the affected public to the correct Reception Centre location.
The CSRD is looking to purchase 6 new chloroplast inserts for the Reception Centers existing sandwich boards.
The Quote is as follows:
A) COROPLAST SIGNS
 Artwork: To Spec.  Size: 22 x 28""  Quantity: 6  Sides: Single  Special Finishing: Gloss Laminated  Install Requirements: n/a  Notes: 
Price: $55.00 ea. + tax
Total cost = $370.00 to address 23-5162 - CSRD K21620 Lower East Adams Lake in Unknown. This is necessary for support emergency response efforts. ",370.0,450.0,450.0,Funding request to support emergency response efforts.
22-1989 - CSRD EOC Activation Freshet,2022-06-29,"Extension of EAF 2022-07 (Request 22-0397)
The Shuswap Lake is at a critically high level resulting in widespread flooding that requires flood protection of homes and critical
infrastructure. The River Forecast Centre has maintained the Flood Watch for the Shuswap Lake and tributaries feeding into the lake.
There is a Severe Thunderstorm Warning in place from Environment and Climate Change Canada (ECCC) for the Shuswap Region. ECCC
has also predicted heavy rains for the coming weekend and next week. The Shuswap Emergency Program EOC remains activated in
response to the flooding needs and continues to supply sand and sandbags as needed to protect critical infrastructure and homes.
The SEP has hired personnel from its mobile operations team to provide logistical support to the response activities, including the delivery
of sandbags to the areas needed for filling.
The CSRD does not have trucks available to utilize for emergency management purposes. SEP requires approval for the extension of two
rental trucks to meet these logistical needs for another 14 days.
Two trucks for 14 days x $160 per day per truck = $4,480. is required for 22-1989 - CSRD EOC Activation Freshet response in Unknown. support emergency response efforts. ",4480.0,5000.0,5000.0,Funding request to support emergency response efforts.
22-1989 - CSRD EOC Activation Freshet,2022-06-29,"To mitigate 22-1989 - CSRD EOC Activation Freshet risks at Unknown, Extension of EAF 2022-07 (Request 22-0397)
The Shuswap Lake is at a critically high level resulting in widespread flooding that requires flood protection of homes and critical
infrastructure. The River Forecast Centre has maintained the Flood Watch for the Shuswap Lake and tributaries feeding into the lake.
There is a Severe Thunderstorm Warning in place from Environment and Climate Change Canada (ECCC) for the Shuswap Region. ECCC
has also predicted heavy rains for the coming weekend and next week. The Shuswap Emergency Program EOC remains activated in
response to the flooding needs and continues to supply sand and sandbags as needed to protect critical infrastructure and homes.
The SEP has hired personnel from its mobile operations team to provide logistical support to the response activities, including the delivery
of sandbags to the areas needed for filling.
The CSRD does not have trucks available to utilize for emergency management purposes. SEP requires approval for the extension of two
rental trucks to meet these logistical needs for another 14 days.
Two trucks for 14 days x $160 per day per truck = $4,480. is necessary. This expenditure supports support emergency response efforts. ",4480.0,5000.0,5000.0,Funding request to support emergency response efforts.
22-1989 - CSRD EOC Activation Freshet,2022-06-29,"To mitigate 22-1989 - CSRD EOC Activation Freshet risks at Unknown, Extension of EAF 2022-07 (Request 22-0397)
The Shuswap Lake is at a critically high level resulting in widespread flooding that requires flood protection of homes and critical
infrastructure. The River Forecast Centre has maintained the Flood Watch for the Shuswap Lake and tributaries feeding into the lake.
There is a Severe Thunderstorm Warning in place from Environment and Climate Change Canada (ECCC) for the Shuswap Region. ECCC
has also predicted heavy rains for the coming weekend and next week. The Shuswap Emergency Program EOC remains activated in
response to the flooding needs and continues to supply sand and sandbags as needed to protect critical infrastructure and homes.
The SEP has hired personnel from its mobile operations team to provide logistical support to the response activities, including the delivery
of sandbags to the areas needed for filling.
The CSRD does not have trucks available to utilize for emergency management purposes. SEP requires approval for the extension of two
rental trucks to meet these logistical needs for another 14 days.
Two trucks for 14 days x $160 per day per truck = $4,480. is necessary. This expenditure supports support emergency response efforts. ",4480.0,5000.0,5000.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-02,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The EOC is currently short staffed in the communications area and having difficulty with the public
relations component of the wildfire situation. The Regional District of Okanagan-Similkameen has
provided us with a member of their communications staff who has experience in emergency operations.
Estimated duration is August 22, 2023 up to and including September 1, 2023.
RDOS has provided the following daily rates based on 12-hour days:
Monday  Friday: $865.07
Saturday  Sunday: $1,297.60
For the period of August 22 to September 1 there are 9 business days and 2 weekend days for a total of
approximately $10,380.83.
Resource request RR2023-12 for this additional support staff has been approved. is needed. This expenditure will support emergency response efforts. ",10500.0,12000.0,12000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-02,"To mitigate 23-5162 - CSRD K21620 Lower East Adams Lake risks at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The EOC is currently short staffed in the communications area and having difficulty with the public
relations component of the wildfire situation. The Regional District of Okanagan-Similkameen has
provided us with a member of their communications staff who has experience in emergency operations.
Estimated duration is August 22, 2023 up to and including September 1, 2023.
RDOS has provided the following daily rates based on 12-hour days:
Monday  Friday: $865.07
Saturday  Sunday: $1,297.60
For the period of August 22 to September 1 there are 9 business days and 2 weekend days for a total of
approximately $10,380.83.
Resource request RR2023-12 for this additional support staff has been approved. is necessary. This expenditure supports support emergency response efforts. ",10500.0,12000.0,12000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-02,"Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The EOC is currently short staffed in the communications area and having difficulty with the public
relations component of the wildfire situation. The Regional District of Okanagan-Similkameen has
provided us with a member of their communications staff who has experience in emergency operations.
Estimated duration is August 22, 2023 up to and including September 1, 2023.
RDOS has provided the following daily rates based on 12-hour days:
Monday  Friday: $865.07
Saturday  Sunday: $1,297.60
For the period of August 22 to September 1 there are 9 business days and 2 weekend days for a total of
approximately $10,380.83.
Resource request RR2023-12 for this additional support staff has been approved. is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",10500.0,12000.0,12000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-10-10,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, From August 22  25, 2023 the Canada Task Force 1 used cadaver dogs to scan the properties in the CSRDs
Electoral Area F with structures partially or totally lost due to the Bush Creek East Wildfire. This service was arranged through the
approved Resource Request 2023-08.
The SEP EOC arranged for accommodation for 25 Canada Task Force 1 crew members to stay at the Sunnybrae Bible Camp. The
accommodations included sleeping quarters, breakfasts, packed lunches, and dinners for three days.
This funding request is to cover the lodging and crew meals at Sunnybrae Bible Camp for 25 crew members from August 22  25, 2023:
Lodging:
$100.00 per person x 25 crew members x 3 nights = $7,500.00
Meals:
$115.00 per person x 25 crew members = $2,875.00 is needed. This expenditure will support emergency response efforts. ",10375.0,10375.0,10375.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-10-10,"To mitigate 23-5162 - CSRD K21620 Lower East Adams Lake risks at Unknown, From August 22  25, 2023 the Canada Task Force 1 used cadaver dogs to scan the properties in the CSRDs
Electoral Area F with structures partially or totally lost due to the Bush Creek East Wildfire. This service was arranged through the
approved Resource Request 2023-08.
The SEP EOC arranged for accommodation for 25 Canada Task Force 1 crew members to stay at the Sunnybrae Bible Camp. The
accommodations included sleeping quarters, breakfasts, packed lunches, and dinners for three days.
This funding request is to cover the lodging and crew meals at Sunnybrae Bible Camp for 25 crew members from August 22  25, 2023:
Lodging:
$100.00 per person x 25 crew members x 3 nights = $7,500.00
Meals:
$115.00 per person x 25 crew members = $2,875.00 is necessary. This expenditure supports support emergency response efforts. ",10375.0,10375.0,10375.0,Funding request to support emergency response efforts.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-10-10,"From August 22  25, 2023 the Canada Task Force 1 used cadaver dogs to scan the properties in the CSRDs
Electoral Area F with structures partially or totally lost due to the Bush Creek East Wildfire. This service was arranged through the
approved Resource Request 2023-08.
The SEP EOC arranged for accommodation for 25 Canada Task Force 1 crew members to stay at the Sunnybrae Bible Camp. The
accommodations included sleeping quarters, breakfasts, packed lunches, and dinners for three days.
This funding request is to cover the lodging and crew meals at Sunnybrae Bible Camp for 25 crew members from August 22  25, 2023:
Lodging:
$100.00 per person x 25 crew members x 3 nights = $7,500.00
Meals:
$115.00 per person x 25 crew members = $2,875.00 is required for 23-5162 - CSRD K21620 Lower East Adams Lake response in Unknown. support emergency response efforts. ",10375.0,10375.0,10375.0,Funding request to support emergency response efforts.
24-5422 - CSRD EOC Activation - Hullcar fire K41796,2024-08-08,"Requesting Currently the SEP EOC is activated to a level 2 in support of wildfires fires in our area. The Hullcar
Mountain fire is being reported as out-of-control and an Evacuation Order and Evacuation Alert have been 
placed on a large area of Silver Creek and Deep Creek. 
As part of the wildfire response to secure the Evacuation Order area and restrict entry to the Evacuation 
Alert area to local traffic only, security staff has been retained and are stationed at checkpoints and are 
patrolling the area 24/7. As the security officers are working 12 hours shifts, they do not have access to 
toilet facilities and as such, this request is submitted to request a portable toilet for two of the 
checkpoint locations.
The price quote from Trigs Septic is $200/week per unit = $400/week plus a weekly cleaning of $60 
for each unit. TOTAL $520 to address 24-5422 - CSRD EOC Activation - Hullcar fire K41796 in Unknown. This is necessary for support emergency response efforts. ",520.0,700.0,700.0,Expense request for EOC activation and operational costs.
24-5422 - CSRD EOC Activation - Hullcar fire K41796,2024-08-08,"Currently the SEP EOC is activated to a level 2 in support of wildfires fires in our area. The Hullcar
Mountain fire is being reported as out-of-control and an Evacuation Order and Evacuation Alert have been 
placed on a large area of Silver Creek and Deep Creek. 
As part of the wildfire response to secure the Evacuation Order area and restrict entry to the Evacuation 
Alert area to local traffic only, security staff has been retained and are stationed at checkpoints and are 
patrolling the area 24/7. As the security officers are working 12 hours shifts, they do not have access to 
toilet facilities and as such, this request is submitted to request a portable toilet for two of the 
checkpoint locations.
The price quote from Trigs Septic is $200/week per unit = $400/week plus a weekly cleaning of $60 
for each unit. TOTAL $520 is required for 24-5422 - CSRD EOC Activation - Hullcar fire K41796 response in Unknown. support emergency response efforts. ",520.0,700.0,700.0,Expense request for EOC activation and operational costs.
24-5422 - CSRD EOC Activation - Hullcar fire K41796,2024-08-08,"Requesting Currently the SEP EOC is activated to a level 2 in support of wildfires fires in our area. The Hullcar
Mountain fire is being reported as out-of-control and an Evacuation Order and Evacuation Alert have been 
placed on a large area of Silver Creek and Deep Creek. 
As part of the wildfire response to secure the Evacuation Order area and restrict entry to the Evacuation 
Alert area to local traffic only, security staff has been retained and are stationed at checkpoints and are 
patrolling the area 24/7. As the security officers are working 12 hours shifts, they do not have access to 
toilet facilities and as such, this request is submitted to request a portable toilet for two of the 
checkpoint locations.
The price quote from Trigs Septic is $200/week per unit = $400/week plus a weekly cleaning of $60 
for each unit. TOTAL $520 to address 24-5422 - CSRD EOC Activation - Hullcar fire K41796 in Unknown. This is necessary for support emergency response efforts. ",520.0,700.0,700.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-03,"To mitigate 23-5162 - CSRD K21620 Lower East Adams Lake risks at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area. An evacuation order has
been issued for the properties on the lower east side of Adams Lake that includes the properties of Dorian Bay, Woolford Point, and Enns
Reach in the CSRD. SEP EOC is requesting funds to cover the cost of a reception centre for evacuees for 2 days beginning August 8, 2023
at Prestige Inn in Salmon Arm, BC Quoted price is $800/day plus taxes.
This is advance planning for an extension of the ESS Reception Centre if required is necessary. This expenditure supports support emergency response efforts. ",2000.0,2200.0,2200.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-03,"Due to 23-5162 - CSRD K21620 Lower East Adams Lake at Unknown, Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area. An evacuation order has
been issued for the properties on the lower east side of Adams Lake that includes the properties of Dorian Bay, Woolford Point, and Enns
Reach in the CSRD. SEP EOC is requesting funds to cover the cost of a reception centre for evacuees for 2 days beginning August 8, 2023
at Prestige Inn in Salmon Arm, BC Quoted price is $800/day plus taxes.
This is advance planning for an extension of the ESS Reception Centre if required is needed. This expenditure will support emergency response efforts. ",2000.0,2200.0,2200.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-03,"Requesting Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area. An evacuation order has
been issued for the properties on the lower east side of Adams Lake that includes the properties of Dorian Bay, Woolford Point, and Enns
Reach in the CSRD. SEP EOC is requesting funds to cover the cost of a reception centre for evacuees for 2 days beginning August 8, 2023
at Prestige Inn in Salmon Arm, BC Quoted price is $800/day plus taxes.
This is advance planning for an extension of the ESS Reception Centre if required to address 23-5162 - CSRD K21620 Lower East Adams Lake in Unknown. This is necessary for support emergency response efforts. ",2000.0,2200.0,2200.0,Expense request for EOC activation and operational costs.
24-5422 - CSRD Hullcar Wildfire K41796,2024-12-11,"Due to 24-5422 - CSRD Hullcar Wildfire K41796 at Unknown, This facilitated AAR would be hosted by the CSRD with invitations going out to Splatsin First Nations, the
Township of Spallumcheen, City of Armstrong and City of Enderby. 
The CSRD EOC was activated in August of this year in response to the Hullcar Mountain fire. This fire was a multi-jurisdictional fire
impacting Splatsin First Nations and the Township of Spallumcheen resulting in evacuation orders affecting all three jurisdictions.
As in any multi-jurisdiction event, coordination and communication could be improved. To secure the Order areas, no thru-traffic
restrictions were required for two main roadways. The CSRD established a permitting process for local traffic traveling south on the Deep
Creek Road. Spallumcheen had a different permitting process set up for local traffic traveling north on the same road. This proved to be
problematic for residents of both local authorities, along with residents of Splatsin and Armstrong.
Through the Indigenous Engagement process, discussion was held on the benefits of hosting a one-day After-Action review for impacted
jurisdictions to discuss coordination of response efforts, develop a universal permitting process and identify additional areas for
improvement. The AAR will assist in the continual improvement in emergency response communication and collaboration for the efficient
and effective response to future multi-jurisdictional events.
The CSRD is requesting funding to host a one-day AAR for EOC staff from the CSRD, Splatsin First Nations, and Township of
Spallumcheen along with input from neighbouring communities such as the City of Armstrong and City of Enderby.
Facilitation of a one day AAR (including accommodation and travel) and creation of a recommendation report - $8,500
Facility Rental - $1,200
Lunch and refreshments for participants  estimated 30 attendees @ $25 = $750
Mileage reimbursement  700km @ $.63/km = $440
Indigenous honorarium - $100 is needed. This expenditure will support emergency response efforts. ",11000.0,15000.0,15000.0,Funding request to support emergency response efforts.
24-5422 - CSRD Hullcar Wildfire K41796,2024-12-11,"This facilitated AAR would be hosted by the CSRD with invitations going out to Splatsin First Nations, the
Township of Spallumcheen, City of Armstrong and City of Enderby. 
The CSRD EOC was activated in August of this year in response to the Hullcar Mountain fire. This fire was a multi-jurisdictional fire
impacting Splatsin First Nations and the Township of Spallumcheen resulting in evacuation orders affecting all three jurisdictions.
As in any multi-jurisdiction event, coordination and communication could be improved. To secure the Order areas, no thru-traffic
restrictions were required for two main roadways. The CSRD established a permitting process for local traffic traveling south on the Deep
Creek Road. Spallumcheen had a different permitting process set up for local traffic traveling north on the same road. This proved to be
problematic for residents of both local authorities, along with residents of Splatsin and Armstrong.
Through the Indigenous Engagement process, discussion was held on the benefits of hosting a one-day After-Action review for impacted
jurisdictions to discuss coordination of response efforts, develop a universal permitting process and identify additional areas for
improvement. The AAR will assist in the continual improvement in emergency response communication and collaboration for the efficient
and effective response to future multi-jurisdictional events.
The CSRD is requesting funding to host a one-day AAR for EOC staff from the CSRD, Splatsin First Nations, and Township of
Spallumcheen along with input from neighbouring communities such as the City of Armstrong and City of Enderby.
Facilitation of a one day AAR (including accommodation and travel) and creation of a recommendation report - $8,500
Facility Rental - $1,200
Lunch and refreshments for participants  estimated 30 attendees @ $25 = $750
Mileage reimbursement  700km @ $.63/km = $440
Indigenous honorarium - $100 is required for 24-5422 - CSRD Hullcar Wildfire K41796 response in Unknown. support emergency response efforts. ",11000.0,15000.0,15000.0,Funding request to support emergency response efforts.
